symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
M&M,Mahindra & Mahindra Limited,7(2),M&M Employees Welfare Fund No.3,2025-06-17 23:54:00,1183909,,0,0,0,0,Equity Shares,169600.0,544205,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183909_1467803_17062025115440_WEB.xml,Other,169600.0,0.01,510122880.0,Equity Shares,,0.0,,,,Off Market,,NA,
M&M,Mahindra & Mahindra Limited,7(2),M&M Employees Welfare Fund No.3,2025-06-17 23:54:00,1183909,,0,0,0,0,Equity Shares,169600.0,544206,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183909_1467803_17062025115440_WEB.xml,Other,,0.0,510122880.0,Equity Shares,169600.0,0.01,,,,Off Market,,NA,
M&M,Mahindra & Mahindra Limited,7(2),M & M Employees Welfare Fund No. 2,2025-06-17 23:50:00,1183907,,0,0,0,0,Equity Shares,413828.0,544201,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183907_1467800_17062025115051_WEB.xml,Other,413828.0,0.03,1244711858.0,Equity Shares,,0.0,,,,Off Market,,NA,
M&M,Mahindra & Mahindra Limited,7(2),M & M Employees Welfare Fund No. 2,2025-06-17 23:50:00,1183907,,0,0,0,0,Equity Shares,413828.0,544202,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183907_1467800_17062025115051_WEB.xml,Other,,0.0,1244711858.0,Equity Shares,413828.0,0.03,,,,Off Market,,NA,
M&M,Mahindra & Mahindra Limited,7(2),M & M Employees Welfare Fund No.1,2025-06-17 23:45:00,1183905,,0,0,0,0,Equity Shares,694312.0,544198,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183905_1467796_17062025114520_WEB.xml,Other,694312.0,0.06,2088351634.0,Equity Shares,,0.0,,,,Off Market,,NA,
M&M,Mahindra & Mahindra Limited,7(2),M & M Employees Welfare Fund No.1,2025-06-17 23:45:00,1183905,,0,0,0,0,Equity Shares,694312.0,544197,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183905_1467796_17062025114520_WEB.xml,Other,,0.0,2088351634.0,Equity Shares,694312.0,0.06,,,,Off Market,,NA,
TFCILTD,Tourism Finance Corporation of India Limited,7(2),Aditya Kumar Halwasiya,2025-06-17 21:57:00,1183903,,0,0,0,0,Equity Shares,100000.0,544194,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183903_1467771_17062025095718_WEB.xml,Director,16367642.0,17.68,21960000.0,Equity Shares,16467642.0,17.79,,,,Market Purchase,,NSE,
360ONE,360 ONE WAM LIMITED,7(2),Anshuman Maheshwary,2025-06-17 21:28:00,1183901,,0,0,0,0,Equity Shares,29402.0,544188,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183901_1467765_17062025092833_WEB.xml,Employees/Designated Employees,84554.0,0.02,32333673.0,Equity Shares,55152.0,0.02,,,,Market Sale,,NSE,
360ONE,360 ONE WAM LIMITED,7(2),Nikunj Kedia,2025-06-17 21:28:00,1183901,,0,0,0,0,Equity Shares,25000.0,544189,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183901_1467765_17062025092833_WEB.xml,Employees/Designated Employees,96948.0,0.03,28387293.0,Equity Shares,71948.0,0.02,,,,Market Sale,,NSE,
360ONE,360 ONE WAM LIMITED,7(2),Amar Thakkar,2025-06-17 21:28:00,1183901,,0,0,0,0,Equity Shares,1000.0,544190,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183901_1467765_17062025092833_WEB.xml,Employees/Designated Employees,6552.0,0.0,1118080.0,Equity Shares,5552.0,0.0,,,,Market Sale,,NSE,
360ONE,360 ONE WAM LIMITED,7(2),Deepak Gohil,2025-06-17 21:28:00,1183901,,0,0,0,0,Equity Shares,1000.0,544191,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183901_1467765_17062025092833_WEB.xml,Employees/Designated Employees,21000.0,0.0,1058250.0,Equity Shares,20000.0,0.0,,,,Market Sale,,NSE,
360ONE,360 ONE WAM LIMITED,7(2),VINEET RAMESH JAIN,2025-06-17 21:28:00,1183901,,0,0,0,0,Equity Shares,1000.0,544192,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183901_1467765_17062025092833_WEB.xml,Employees/Designated Employees,1000.0,0.0,1152266.0,Equity Shares,,0.0,,,,Market Sale,,NSE,
360ONE,360 ONE WAM LIMITED,7(2),Anshuman Maheshwary,2025-06-17 21:28:00,1183900,,0,0,0,0,Equity Shares,20598.0,544187,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183900_1467763_17062025092811_WEB.xml,Employees/Designated Employees,105152.0,0.03,22201760.0,Equity Shares,84554.0,0.02,,,,Market Sale,,NSE,
ADSL,Allied Digital Services Limited,7(2),Paresh Bipinchandra Shah,2025-06-17 19:37:00,1183894,,0,0,0,0,Equity Shares,15000.0,544180,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183894_1467742_17062025073702_WEB.xml,Key Managerial Personnel,53500.0,0.1,2750000.0,Equity Shares,38500.0,0.07,,,,Market Sale,,BSE,
RACE,Race Eco Chain Limited,7(2),PUJA MALIK,2025-06-17 19:17:00,1183892,,0,0,0,0,Equity Shares,10000.0,544178,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183892_1467734_17062025071709_WEB.xml,Immediate relative,998181.0,5.78,2529888.0,Equity Shares,1008181.0,5.84,,,,Market Purchase,,NSE,
ALPA,Alpa Laboratories Limited,7(2),Mahendra Singh Chawla,2025-06-17 18:58:00,1183890,,0,0,0,0,Equity Shares,2905760.0,544174,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183890_1467721_17062025065821_WEB.xml,Promoters,2906760.0,13.82,0.0,Equity Shares,1000.0,0.01,,,,Gift,,NA,
ALPA,Alpa Laboratories Limited,7(2),Paresh Chawla,2025-06-17 18:58:00,1183890,,0,0,0,0,Equity Shares,3521760.0,544176,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183890_1467721_17062025065821_WEB.xml,Promoters,3686450.0,17.52,0.0,Equity Shares,7208210.0,34.26,,,,Gift,,NA,
ALPA,Alpa Laboratories Limited,7(2),Asha Chawla,2025-06-17 18:58:00,1183890,,0,0,0,0,Equity Shares,616000.0,544175,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183890_1467721_17062025065821_WEB.xml,Promoters,616700.0,2.93,0.0,Equity Shares,700.0,0.0,,,,Gift,,NA,
CAPTRUST,Capital Trust Limited,7(2),Yogen Khosla,2025-06-17 18:42:00,1183886,,0,0,0,0,Equity Shares,152138.0,544164,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183886_1467709_17062025064244_WEB.xml,Promoters,5127007.0,30.14,14356353.0,Equity Shares,4974869.0,29.25,,,,Market Sale,,NSE,
CAPTRUST,Capital Trust Limited,7(2),Yogen Khosla,2025-06-17 18:42:00,1183886,,0,0,0,0,Equity Shares,95374.0,544163,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183886_1467709_17062025064244_WEB.xml,Promoters,5222381.0,30.7,9146568.0,Equity Shares,5127007.0,30.14,,,,Market Sale,,NSE,
JSL,Jindal Stainless Limited,7(2),JSL OVERSEAS HOLDING LTF,2025-06-17 18:33:00,1183884,,0,0,0,0,Equity Shares,681920.0,544160,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183884_1467695_17062025063312_WEB.xml,Promoter Group,132269227.0,16.06,492421809.0,Equity Shares,132951147.0,16.14,,,,Market Purchase,,NSE,
KPITTECH,KPIT Technologies Limited,7(2),Priyamvada Hardikar,2025-06-17 18:28:00,1183882,,0,0,0,0,Equity Shares,18400.0,544158,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183882_1467685_17062025062816_WEB.xml,Employees/Designated Employees,89736.0,0.03,24998433.0,Equity Shares,71336.0,0.03,,,,ESOP,,NSE,
JSL,Jindal Stainless Limited,7(2),SAVITRI DEVI JINDAL,2025-06-17 18:21:00,1183880,,0,0,0,0,Equity Shares,25190330.0,544153,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183880_1467678_17062025062150_WEB.xml,Promoter Group,25451621.0,3.09,0.0,Equity Shares,261291.0,0.03,,,,Gift,,NA,
JSL,Jindal Stainless Limited,7(2),ARTI JINDAL,2025-06-17 18:21:00,1183880,,0,0,0,0,Equity Shares,9097076.0,544154,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183880_1467678_17062025062150_WEB.xml,Promoter Group,10.0,0.0,0.0,Equity Shares,9097086.0,1.1,,,,Gift,,NA,
JSL,Jindal Stainless Limited,7(2),NAVEEN JINDAL,2025-06-17 18:21:00,1183880,,0,0,0,0,Equity Shares,14600481.0,544155,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183880_1467678_17062025062150_WEB.xml,Promoter Group,37666.0,0.0,0.0,Equity Shares,14638147.0,1.78,,,,Gift,,NA,
JSL,Jindal Stainless Limited,7(2),SAJJAN JINDAL AS TRUSTEE FOR SAJJAN JINDAL FAMILY TRUST,2025-06-17 18:21:00,1183880,,0,0,0,0,Equity Shares,1492773.0,544156,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183880_1467678_17062025062150_WEB.xml,Promoter Group,295.0,0.0,0.0,Equity Shares,1493068.0,0.18,,,,Gift,,NA,
KPITTECH,KPIT Technologies Limited,7(2),KPIT TECHNOLOGIES LIMITED EMPLOYEES WELFARE TRUST,2025-06-17 17:41:00,1183877,,0,0,0,0,Equity Shares,18400.0,544147,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183877_1467661_17062025054136_WEB.xml,Other,2370196.0,0.86,24998433.0,Equity Shares,2351796.0,0.86,,,,ESOP,,NSE,
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,7(2),Shailesh Khaitan,2025-06-17 17:40:00,1183876,,0,0,0,0,Equity Shares,12200.0,544146,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183876_1467658_17062025054026_WEB.xml,Promoters,3571910.0,3.68,1046401.0,Equity Shares,3584110.0,3.69,,,,Market Purchase,,MSEI,
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),PUNIT SHARMA,2025-06-17 17:06:00,1183873,,0,0,0,0,Equity Shares,186.0,544142,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183873_1467631_17062025050604_WEB.xml,Employees/Designated Employees,,0.0,1860.0,Equity Shares,186.0,0.0,,,,ESOP,,NA,
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Anupa Dixit,2025-06-17 17:06:00,1183873,,0,0,0,0,Equity Shares,625.0,544141,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183873_1467631_17062025050604_WEB.xml,Employees/Designated Employees,1250.0,0.0,6250.0,Equity Shares,1875.0,0.0,,,,ESOP,,NA,
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Dr. Lal PathLabs Employees Welfare Trust,2025-06-17 17:06:00,1183873,,0,0,0,0,Equity Shares,1689.0,544140,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183873_1467631_17062025050604_WEB.xml,Other,354929.0,0.42,521392.0,Equity Shares,353240.0,0.42,,,,ESOP,,NA,
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),PUNIT SHARMA,2025-06-17 17:06:00,1183873,,0,0,0,0,Equity Shares,186.0,544143,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183873_1467631_17062025050604_WEB.xml,Employees/Designated Employees,186.0,0.0,548542.0,Equity Shares,,0.0,,,,Market Sale,,NSE,
INTLCONV,International Conveyors Limited,7(2),Elpro International Limited,2025-06-17 16:55:00,1183872,,0,0,0,0,Equity Shares,33688.0,544139,Buy,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183872_1467620_17062025045541_WEB.xml,Promoter Group,479803.0,0.76,2886519.0,Equity Shares,513491.0,0.81,,,,Market Purchase,,NSE,
HATSUN,Hatsun Agro Product Limited,7(2),Dr. Archana Narayanaswamy,2025-06-17 16:44:00,1183870,,0,0,0,0,Equity Shares,1353.0,544137,Sell,,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183870_1467611_17062025044439_WEB.xml,Director,38230.0,0.02,1358412.0,Equity Shares,36877.0,0.02,,,,Market Sale,,NSE,
